,LAC_001,LAC_002,LAC_003,LAC_004,LAC_009,LAC_010,LAC_011,LAC_012,LAC_015,LAC_016,LAC_017,LAC_018,LAC_019,LAC_020,LAC_021,LAC_022,LAC_023,LAC_024,LAC_025,LAC_026,LAC_027,LAC_028,LAC_029,LAC_030,LAC_031,LAC_032,LAC_033,LAC_034,LAC_035,LAC_046,LAC_047,LAC_048,LAC_049,LAC_050,LAC_051,LAC_052,LAC_053,LAC_054,LAC_055,LAC_056,LAC_057,LAC_062,LAC_063,LAC_064,LAC_065,LAC_066,LAC_067,LAC_068,LAC_069,LAC_070,LAC_071,LAC_072,LAC_073,LAC_074,LAC_075,LAC_076,LAC_077,LAC_078,LAC_079,LAC_080,LAC_081,LAC_084,LAC_085,LAC_086,LAC_087,LAC_089,LAC_090,LAC_093,LAC_094,LAC_095,LAC_096,LAC_099,LAC_100,LAC_101,LAC_102,LAC_103,LAC_104,LAC_105,LAC_106,LAC_107,LAC_108,LAC_111,LAC_112,LAC_115,LAC_116,LAC_121,LAC_122,LAC_129,LAC_130,LAC_131,LAC_132,LAC_133,LAC_134,LAC_135,LAC_136,LAC_137,LAC_138,LAC_139,LAC_140,LAC_141,LAC_142,LAC_143,LAC_144,LAC_145,LAC_146,LAC_147,LAC_148,LAC_149,LAC_150,LAC_151,LAC_152,LAC_155,LAC_156,LAC_157,LAC_158,LAC_159,LAC_160
0,-0.440452957,0.440452957,2.012487305,2.819899043,-6.828927439,-7.510792695,-2.05532394,-6.396722063,10.33123447,10.99035228,7.43968058,3.629567688,8.312414973,10.57828906,5.075223198,6.111070497,5.823523217,5.990062945,7.781871538,6.227185265,7.635961992,5.542894442,7.277440151,5.321080749,7.146469351,8.148032566,8.700733212,8.1326302,8.499357595,-3.925768081,-2.630447067,-4.37824837,-2.562008021,9.43300483,11.02558446,9.445168203,10.88149161,8.79905907,12.63327034,8.201953922,12.71220156,6.999613408,7.092117308,3.1823791,3.247896227,5.936911357,6.51795352,9.96868688,5.717650093,8.801881806,5.063683306,8.435972609,5.362492786,3.920844926,4.456712876,10.01593709,9.517959352,8.150232127,5.921990005,11.90650651,11.55905058,11.48945976,11.46436292,7.730402299,8.084263707,-14.22032282,-13.79088269,-9.21124936,-9.219278173,-5.371930921,-5.021074648,-7.558779415,-6.04808048,-7.325844965,-4.428980354,-4.403338834,-5.764423849,5.833723574,7.86313655,-7.284695006,-8.004927424,-8.508594757,-8.510650047,-10.33412823,-9.800535099,4.767630576,5.060833297,10.75660829,11.08408728,5.590550415,8.686137308,4.280097344,1.269166689,2.035855293,4.331858469,12.46885113,13.54417402,10.70738144,12.15412444,11.2928266,12.87432838,9.326381218,7.700591525,5.999397681,5.876583107,10.28003955,9.892464526,7.157971945,9.891444091,-5.160248825,-5.913663001,13.51557958,12.43058432,8.929231895,10.33142357,3.453103147,3.319917839
1,0.862802809,-0.862802809,12.84767011,12.70887495,-1.710788435,-1.732979055,-1.331680586,-1.022486606,2.885053131,1.940595643,3.481435754,3.062642514,6.317179213,4.216006879,6.861124126,3.073127058,3.339747727,-3.52767731,-2.612900155,-3.695877304,-2.572848264,-1.757312895,-1.27931099,-1.303893375,-1.155961742,-0.227732359,-1.531751438,0.034325573,-1.424619319,-1.147858042,-0.920460772,-1.618884726,-0.526618204,2.341077585,2.584476155,3.059704257,2.447126767,1.668781472,0.489032709,2.26056482,0.266324987,-1.642329734,-0.924547026,0.352754341,0.467890929,6.236520865,5.026471253,2.617219577,2.423768054,2.090846166,-0.236519696,-1.50471414,3.115665609,-0.850948375,2.76742686,-0.507044155,1.077951859,1.496608845,0.025524768,5.399247011,5.425428755,-2.409980462,-2.091201899,-10.46102363,-9.696973002,6.515572872,4.065948456,-8.680898187,-9.274962628,-2.16013491,-1.90455644,3.270294155,-2.436827357,-6.713396125,-6.626790223,-3.995522193,-4.166591083,6.075161876,6.588293882,-3.603786789,-3.964883039,-7.379023568,-7.33104047,-4.44675522,-3.91134621,1.060535265,0.710557961,2.702103721,2.196760289,4.446115716,5.229035663,1.484917108,-0.841127753,0.512691862,1.266826328,4.282137957,3.639296448,1.865154644,1.498956324,-1.367624691,-1.079331265,1.589953939,1.037672649,-3.094534292,-2.839582906,3.13351044,2.096314159,6.086148984,4.413189677,4.485468097,3.684306154,-1.844244099,-2.198732799,3.901573078,2.09584473,-1.281533967,-1.552487216
2,1.145069327,-1.145069327,-1.351787742,-0.770831625,-1.499860648,-0.54161466,-1.169851097,-0.422506821,-1.698877578,-2.805584927,0.180300025,0.134326455,0.612678876,-1.989496534,-1.823146267,-0.640197441,-1.639046208,0.352377314,-0.991403333,0.442782618,-0.459485362,-0.435668516,-0.867135777,-0.819309319,-0.770810619,-1.045474043,-0.619893914,-0.983456063,-0.830659708,-2.928867798,-1.261618437,-2.960909805,-2.025428879,11.58343467,0.982467451,-6.859881291,0.257724569,-0.28873574,-0.345963209,-0.553817182,-1.313853559,-0.577336844,-0.701690191,0.255593631,0.396865911,-0.954511356,-0.486671507,-2.45282179,-1.811230005,-0.953235921,-0.784018086,-0.002760455,-0.514460343,-2.960702763,-1.090786222,-1.285602815,-1.972636762,-1.925825542,-1.670828699,-3.499618837,-3.081811171,-1.19588253,-0.878409545,0.555473874,-0.610133727,0.401645414,0.201473547,0.021312828,0.451556505,0.5805993,0.799337813,1.760445377,0.211284901,1.267499432,0.78372653,0.441297204,-0.029592401,0.408078495,0.490680141,1.00789042,1.981804678,1.336659241,0.275006241,1.042399403,1.46308746,-1.405679838,-1.766922412,-1.694182645,-1.144337883,-0.187240985,-0.131898191,-1.798319296,-2.318105507,-0.237397091,-0.937410348,-0.87899015,-0.815596366,-1.275696323,-1.627495986,-0.52553789,-2.339745464,-1.104768228,-0.750824636,-1.53756176,-0.692473815,-0.729416995,-3.058931597,-0.781390979,0.012938112,-0.822055686,-0.136076439,-2.435038666,-2.93145327,-3.324827395,-4.893207949,-0.963134906,0.158708052
3,-0.329670663,0.329670663,-3.088204112,-0.64052353,6.411757868,4.716515056,3.100269279,2.832632229,8.438117841,10.529123,-1.123195787,-3.15728573,-0.961898679,-1.08175579,-1.684024379,-2.009467946,-1.53739977,3.236177562,4.104566275,3.551943773,4.248450253,2.10344192,2.228001125,2.865014469,2.221152711,6.061074042,4.519550949,6.025683479,4.666434677,-1.921059723,-1.136753099,-1.895421234,-0.622895303,10.29012192,2.812916958,9.79985338,3.035264814,7.158309066,9.26975283,7.309748217,9.365829942,0.848783945,-0.381705991,6.625317648,5.111925743,1.040125162,1.332292989,8.024713074,7.620631871,7.395526992,9.352802531,7.806106052,5.37400831,1.17561257,-2.303462296,9.662877899,8.406274558,5.255162672,7.182788283,3.457001574,5.579099619,4.621877528,5.000799913,7.01677822,9.590711061,12.26534247,12.13060262,7.850622041,8.518378197,6.664268993,5.888743335,2.984364465,6.415788658,3.340998469,3.626184998,11.62749477,11.55191625,-0.710633081,0.8424876,3.833043004,3.662753523,5.04804813,4.756632186,10.50633446,9.562318837,10.41133262,10.34004024,1.676458636,2.278788348,3.205817104,0.876193579,-0.371778323,-0.208345477,1.013359224,-0.347163315,5.751233782,6.080077926,7.417205027,7.449716602,10.0981297,10.80314584,3.273520737,4.434634298,4.219228015,4.221095411,1.019790324,2.969464912,0.246938892,0.096443661,0.533445206,-1.076853706,9.442113163,8.298773509,2.160395862,1.727983496,2.225521747,2.068977562
4,0.149502256,-0.149502256,0.247565878,-0.20785247,-0.266114248,0.263051629,-0.45661635,-1.013942391,2.085016474,1.611566439,-8.57213498,-5.924650076,3.854829421,3.679008963,1.288298292,1.750825449,1.394190068,2.08186906,3.948232441,2.110443557,3.367954663,2.200303708,2.745350905,2.047822625,2.622776509,3.266143894,2.848404797,2.97793007,3.006853686,-3.1881851,-4.280460319,-3.582149069,-4.366851208,-0.204155719,1.542639566,-0.193546866,1.761660918,3.149064265,2.658602362,2.784044259,2.543192051,3.053063094,3.068306501,-2.895540047,-2.546931996,-0.175107688,-0.665069879,0.804933151,-0.082548326,-0.46236155,-1.853601198,2.221790505,3.808494396,4.518349639,3.990996037,2.089428939,2.375891927,2.134938561,2.307264147,3.024538759,3.944571262,4.054535415,3.399166303,5.579321736,4.872384299,6.537825918,4.051471,0.134027022,0.029923955,-0.747706011,-0.343019217,-0.575142234,-0.187099885,0.29492571,0.050446121,3.97567396,4.28745759,-5.393030378,-3.061814198,-0.953480067,-0.821406506,-1.94587014,-1.840878693,-6.528505428,-5.679121065,-0.851569732,-0.920844216,-3.47985855,-2.262654014,1.989781017,3.337195419,-4.015110901,-3.975965675,0.448674367,1.524528127,0.270075812,0.754414822,1.163377506,1.055232559,-3.270540656,-5.497772468,-0.270496452,1.525632291,-0.441055995,-0.611995873,2.377806416,-0.056546084,2.681839663,3.885403255,-0.514028566,-0.054655897,-3.629193021,-4.609769545,-1.798894899,-7.4177943,-2.702672891,-3.80924271
5,-0.341813336,0.341813336,-2.211886591,4.050705291,4.159590479,1.314348469,1.233497759,3.04449304,3.90962712,-0.878534182,0.459929674,4.671799949,-2.109877999,1.826873893,-1.956728464,0.895267254,2.042298132,0.537086331,0.865995208,0.81714694,0.846800937,-0.162289003,1.899522008,1.422580453,2.114600596,1.787905196,3.453292318,1.540307802,3.697782125,-0.115376924,3.967601864,2.156712796,3.663826707,-0.636492823,-1.659878182,-1.109381182,-1.111252926,2.239843718,2.360378725,1.601078579,2.561580294,0.261998485,-0.061833014,0.021439678,-0.273663332,0.434682322,0.513548319,1.54323698,1.674809502,2.699984415,0.115955563,0.624746578,2.404520832,-0.461227507,3.800858174,3.381275458,4.356000234,3.082398038,3.363968173,1.197277899,2.590975125,2.273121369,-1.183616056,2.215666431,2.309332196,-2.640698537,3.126460609,3.146100188,2.90602803,2.912019732,2.497409331,3.048335771,2.431539778,-2.185981967,0.014537234,-3.400571779,2.568537409,-1.130145586,0.922733914,2.510084566,3.762851406,2.465566183,3.447316583,4.722481913,3.920288329,2.225364236,1.295329457,-1.536468003,1.228630026,0.707784302,-0.201009963,3.1678361,-2.338507721,1.940544257,3.865278524,3.126048729,1.168955524,2.378021757,3.902266322,2.349473994,2.775986784,0.483912043,2.301801105,5.900129324,3.592985249,2.62381139,-0.277984216,2.901543886,3.809348908,5.704045543,4.121720064,4.365943522,5.130724279,3.681300768,5.394111566,2.23251113,5.106162857
6,-0.93060215,0.93060215,8.733895017,11.55107509,-7.711638687,-7.121013597,0.116868398,0.932155266,16.82142588,16.07509695,1.382807156,3.522413602,15.02733901,14.25940083,7.191970157,5.189849632,4.981543807,2.091053511,3.418832023,2.0494344,3.16321584,0.022800311,-0.177036232,0.253086801,-0.332748306,-1.318911267,-2.38066654,-1.345575451,-2.249290591,17.46264227,16.98108858,16.99218809,16.83157462,26.9216348,21.72569766,26.68261694,21.74565399,13.1197014,13.53825843,12.83792312,13.41821933,3.978137193,1.793299327,17.06852971,16.13254662,9.830088239,6.892219082,5.854918045,5.119931467,7.742970746,7.799240117,13.27557672,8.523260643,1.365911223,1.90941369,17.80917315,13.9093735,15.7761974,16.33490422,19.0429757,17.8688101,7.855405193,7.154969845,16.08400445,15.6563777,4.334009331,2.386190734,29.19654534,29.19817389,28.32247771,28.93788791,28.99631102,29.99024379,24.20646953,22.73380527,5.54849815,6.010605736,7.293153599,9.95163566,28.55378269,28.51218967,26.95233226,27.0434755,14.48448716,14.75850306,22.66627886,19.02375817,20.53291271,21.17871821,20.98799804,20.54505461,16.54826244,14.99011999,13.11769157,13.06707796,11.40347088,10.94826297,14.71842387,12.50733179,14.9026869,16.56385167,16.53520691,15.41086191,16.23901621,16.3995321,10.7562173,9.333674234,19.20016264,20.02648803,16.23831461,16.77387036,11.79824214,12.483294,21.04127995,17.12776861,10.71427154,8.62048117
7,-2.804441202,2.804441202,3.943781989,1.865508529,7.872569543,9.711146654,2.56185882,3.825379523,-0.029990476,-0.351411346,-0.401474347,-1.214201737,-0.41158594,-1.779072654,4.777474501,6.200655692,5.996354913,-0.49635516,-1.222661401,-1.409150721,-1.436816348,-0.492976615,-0.979293245,-0.818130927,-1.23892409,-0.987278744,-0.053712966,-1.139279982,-0.242254744,-0.308217273,-1.068828334,0.002421828,-0.716598545,-1.431138376,0.3695955,-1.248614085,0.126045394,-1.856647408,-3.425849652,-2.122017726,-3.468304311,-3.252942986,-2.719497179,1.668871267,3.743153587,2.636286205,3.075475268,0.779715083,1.795675796,0.091498353,0.094194303,6.994277881,5.638219976,-4.211180862,-4.591607346,-3.06336151,-3.153916242,-2.375486559,-1.918808921,-4.749851306,-3.626469691,-3.828509877,-2.766929926,7.031128824,5.854089264,13.57837234,14.88767011,19.3338151,19.68525487,18.29959358,18.18690608,16.68597881,18.88547584,17.95356514,18.07485112,16.29569242,16.13230898,-1.12562998,0.179186316,20.97904387,20.59859995,15.00813739,14.87490366,15.49941436,14.97474561,-3.057947789,-4.54552991,-3.025030591,-2.985716901,-2.499121613,-3.766615736,-1.984822922,0.044990238,0.978111093,0.613445172,-1.65038345,-1.182804801,-1.315622335,-1.563543349,-4.577665038,-4.369839579,-4.317167569,-5.078190753,5.788914798,6.38765184,-4.769989815,-4.486963986,-3.77775461,-4.328641319,2.832642943,3.494216061,-5.316763457,-5.390296333,-3.829986537,-2.311761422,-0.074097992,-1.201505855
8,-2.106427883,2.106427883,0.041657769,2.206149296,0.529044373,-0.058616321,-1.419636298,-2.14218749,1.870788516,-1.267382037,4.031824949,2.219055114,5.428112216,7.306196002,4.932784923,7.909992569,7.425321104,3.269386291,4.639904713,3.628417968,4.92801215,4.997847086,7.21352838,5.031511189,7.364412357,5.543834299,6.616273878,5.836067314,6.864592115,1.380536345,2.088018891,1.812478575,2.304365537,28.80300778,32.46221952,29.01913232,32.41852265,2.157443642,5.645441857,2.821202873,5.828461599,5.134619968,6.477642971,-0.513758039,-0.019533772,6.307196033,5.684761106,3.978580665,2.69520266,2.209602577,0.080255753,1.260223489,1.58521242,1.424752066,-0.196247727,5.278298041,4.094817629,3.412986792,5.138399493,4.119072995,2.529052934,7.37501918,7.469462939,10.5841046,7.526864705,-0.320035848,2.001594624,35.29588673,35.54633983,32.3406647,32.29522353,36.46589411,36.12165442,36.39965134,35.15362374,13.51283009,13.77774398,-2.911517749,-3.337351094,36.36159168,36.34942587,36.56113508,36.65357819,28.87529918,28.12287307,4.598436532,4.758943459,5.20298404,4.555996375,5.029994114,6.675219242,5.450760241,6.733540524,13.2825763,11.72929052,5.159597855,7.598540821,4.412218788,5.062106841,4.041450721,4.40974484,27.97572389,27.94481035,17.64204141,17.42513979,6.806560964,4.565635261,7.679390988,9.040746584,1.867054235,3.03459343,4.442230174,4.788544618,1.100640536,-0.439419245,-0.091089718,0.582832175
9,-1.523270862,1.523270862,-16.66936886,-17.17763399,-1.475539981,-1.919169318,6.243210979,4.554735621,-14.56958281,-13.53695488,-8.495763067,-2.937108356,-10.08874406,-9.415031445,-10.37572624,-9.227448864,-8.881141304,0.422409689,0.350672258,0.393690751,0.063438333,-3.563297264,-1.483208608,-3.500956353,-1.41299676,0.305044261,0.846715126,-0.143425393,0.713199593,-4.67371444,-4.345381402,-4.670027182,-4.690246057,-5.325809067,-6.112392688,-5.21839025,-6.315052716,-17.48708213,-15.52631166,-17.30746328,-15.36866975,1.932270609,2.217875417,-9.879203813,-11.32378712,-16.97255487,-16.57998462,-17.15195712,-17.27048049,-17.72787997,-17.87663882,-17.7906986,-16.99467172,-14.72285734,-13.51643205,-16.98800182,-17.99580238,-17.67089107,-17.13687281,-11.49225768,-13.80731243,-5.401185302,-2.632427686,-12.4981843,-14.55373922,-3.741068468,-2.766275801,-1.404395324,-2.141434764,-13.29069453,-13.26858189,0.97793747,1.350733538,-16.35215498,-14.9658625,2.166993556,2.16042443,-8.563875669,-10.35172652,-5.668160353,-5.217091183,2.329240265,2.704641875,6.948989149,6.380563863,-12.61920629,-10.86713208,-13.149101,-14.22246081,-4.414048464,-1.635486394,-10.95039241,-9.482291704,-2.450840506,-2.48256223,-1.382069082,0.752230898,-16.52754538,-16.44426213,-15.75555212,-17.30233504,-1.344641251,-2.416776734,-5.076842539,-4.667254529,-5.463528211,-12.99972735,-0.181758998,1.636726413,-9.995178689,-7.942368742,-16.08711032,-15.8081174,-15.58439763,-20.09440737,-6.760688997,-4.651837037
